cidade_origem,cidade_destino,assentos_ocupados,assentos_totais,assentos_disponiveis,dia,mes,ano
São Paulo,Bogotá,59,100,41,7,4,2025
Rio de Janeiro,Maceió,111,200,89,7,4,2025
Brasília,Florianópolis,57,100,43,7,4,2025
Brasília,Porto Alegre,133,200,67,7,4,2025
Belo Horizonte,Paris,94,200,106,7,4,2025
Belo Horizonte,Dubai,184,200,16,7,4,2025
Belo Horizonte,Curitiba,70,100,30,7,4,2025
Salvador,Porto Velho,88,200,112,7,4,2025
Recife,Maceió,49,100,51,7,4,2025
Fortaleza,Natal,147,200,53,7,4,2025
Fortaleza,Goiânia,88,200,112,7,4,2025
Curitiba,Vitória,88,200,112,7,4,2025
Porto Alegre,Boa Vista,61,100,39,7,4,2025
Porto Alegre,Bogotá,31,100,69,7,4,2025
Belém,Belo Horizonte,59,200,141,7,4,2025
Manaus,Recife,42,200,158,7,4,2025
Manaus,Santiago,68,200,132,7,4,2025
Manaus,Boa Vista,83,100,17,7,4,2025
Florianópolis,Brasília,182,200,18,7,4,2025
Florianópolis,Santiago,54,100,46,7,4,2025
Goiânia,Vitória,59,200,141,7,4,2025
Goiânia,Los Angeles,59,200,141,7,4,2025
Goiânia,Manaus,44,100,56,7,4,2025
Natal,Campo Grande,174,200,26,7,4,2025
Natal,Belém,86,100,14,7,4,2025
Natal,Santiago,124,200,76,7,4,2025
Maceió,Aracaju,54,100,46,7,4,2025
Maceió,Fortaleza,100,200,100,7,4,2025
João Pessoa,São Luís,173,200,27,7,4,2025
João Pessoa,Nova York,98,200,102,7,4,2025
João Pessoa,Maceió,87,100,13,7,4,2025
Aracaju,Fortaleza,91,200,109,7,4,2025
Aracaju,Rio de Janeiro,173,200,27,7,4,2025
Vitória,Roma,77,100,23,7,4,2025
Vitória,Amsterdã,86,100,14,7,4,2025
Vitória,Santiago,165,200,35,7,4,2025
Cuiabá,Teresina,67,100,33,7,4,2025
Cuiabá,Macapá,43,100,57,7,4,2025
Campo Grande,Teresina,60,100,40,7,4,2025
São Luís,São Paulo,167,200,33,7,4,2025
São Luís,Miami,173,200,27,7,4,2025
São Luís,Pequim,55,200,145,7,4,2025
Teresina,Frankfurt,87,100,13,7,4,2025
Teresina,Brasília,132,200,68,7,4,2025
Palmas,Los Angeles,98,200,102,7,4,2025
Palmas,João Pessoa,127,200,73,7,4,2025
Palmas,Porto Velho,87,100,13,7,4,2025
Rio Branco,Belo Horizonte,61,100,39,7,4,2025
Rio Branco,Florianópolis,45,200,155,7,4,2025
Macapá,Brasília,158,200,42,7,4,2025
Macapá,Rio de Janeiro,41,200,159,7,4,2025
Boa Vista,Aracaju,125,200,75,7,4,2025
Porto Velho,Frankfurt,70,100,30,7,4,2025
Porto Velho,Aracaju,110,200,90,7,4,2025
Nova York,Aracaju,185,200,15,7,4,2025
Nova York,Cuiabá,77,200,123,7,4,2025
Nova York,Salvador,67,100,33,7,4,2025
Miami,Toronto,60,100,40,7,4,2025
Miami,Campo Grande,50,100,50,7,4,2025
Los Angeles,Campo Grande,79,200,121,7,4,2025
Los Angeles,Santiago,42,100,58,7,4,2025
Los Angeles,Macapá,64,100,36,7,4,2025
Londres,Rio de Janeiro,88,100,12,7,4,2025
Paris,Amsterdã,65,100,35,7,4,2025
Paris,Rio de Janeiro,129,200,71,7,4,2025
Tóquio,Brasília,23,100,77,7,4,2025
Tóquio,Belo Horizonte,146,200,54,7,4,2025
Tóquio,Miami,47,100,53,7,4,2025
Pequim,Toronto,87,100,13,7,4,2025
Pequim,Fortaleza,48,200,152,7,4,2025
Pequim,Aracaju,65,100,35,7,4,2025
Dubai,Macapá,187,200,13,7,4,2025
Dubai,Tóquio,166,200,34,7,4,2025
Roma,Madri,171,200,29,7,4,2025
Madri,Campo Grande,147,200,53,7,4,2025
Lisboa,Aracaju,23,100,77,7,4,2025
Lisboa,Palmas,30,100,70,7,4,2025
Lisboa,São Luís,46,100,54,7,4,2025
Amsterdã,Aracaju,77,100,23,7,4,2025
Frankfurt,Santiago,128,200,72,7,4,2025
Frankfurt,São Luís,40,100,60,7,4,2025
Toronto,Lisboa,22,100,78,7,4,2025
Toronto,Paris,64,200,136,7,4,2025
Buenos Aires,Fortaleza,61,100,39,7,4,2025
Buenos Aires,Lima,127,200,73,7,4,2025
Buenos Aires,Miami,56,200,144,7,4,2025
Santiago,Brasília,29,100,71,7,4,2025
Santiago,Goiânia,47,100,53,7,4,2025
Santiago,Rio Branco,68,100,32,7,4,2025
Lima,Palmas,142,200,58,7,4,2025
Cidade do México,São Luís,155,200,45,7,4,2025
Cidade do México,Teresina,103,200,97,7,4,2025
Bogotá,Aracaju,64,100,36,7,4,2025
Bogotá,Rio Branco,40,100,60,7,4,2025
São Paulo,Rio Branco,29,100,71,8,4,2025
São Paulo,Goiânia,117,200,83,8,4,2025
São Paulo,Santiago,77,100,23,8,4,2025
Rio de Janeiro,Santiago,88,100,12,8,4,2025
Rio de Janeiro,Fortaleza,114,200,86,8,4,2025
Rio de Janeiro,Porto Alegre,90,100,10,8,4,2025
Brasília,Porto Alegre,34,100,66,8,4,2025
Belo Horizonte,Maceió,95,200,105,8,4,2025
Salvador,Belo Horizonte,86,200,114,8,4,2025
Recife,Madri,48,100,52,8,4,2025
Recife,Lisboa,52,200,148,8,4,2025
Recife,Bogotá,68,100,32,8,4,2025
Fortaleza,Frankfurt,67,100,33,8,4,2025
Fortaleza,Bogotá,53,100,47,8,4,2025
Curitiba,Florianópolis,120,200,80,8,4,2025
Curitiba,Roma,21,100,79,8,4,2025
Curitiba,Amsterdã,44,100,56,8,4,2025
Porto Alegre,Cidade do México,80,100,20,8,4,2025
Porto Alegre,Santiago,148,200,52,8,4,2025
Porto Alegre,Aracaju,174,200,26,8,4,2025
Belém,Buenos Aires,166,200,34,8,4,2025
Belém,Porto Velho,25,100,75,8,4,2025
Manaus,Miami,99,200,101,8,4,2025
Manaus,Amsterdã,73,200,127,8,4,2025
Manaus,Belo Horizonte,60,200,140,8,4,2025
Florianópolis,Buenos Aires,53,100,47,8,4,2025
Goiânia,Recife,43,100,57,8,4,2025
Goiânia,Maceió,23,100,77,8,4,2025
Goiânia,Campo Grande,103,200,97,8,4,2025
Natal,Goiânia,61,200,139,8,4,2025
Natal,Londres,184,200,16,8,4,2025
Maceió,Lima,89,100,11,8,4,2025
Maceió,Tóquio,112,200,88,8,4,2025
Maceió,Santiago,46,100,54,8,4,2025
João Pessoa,Belo Horizonte,55,100,45,8,4,2025
João Pessoa,Cidade do México,77,200,123,8,4,2025
João Pessoa,Teresina,93,100,7,8,4,2025
Aracaju,Lisboa,126,200,74,8,4,2025
Aracaju,Miami,74,200,126,8,4,2025
Aracaju,Rio Branco,34,100,66,8,4,2025
Vitória,Belo Horizonte,91,100,9,8,4,2025
Cuiabá,Paris,29,100,71,8,4,2025
Campo Grande,Vitória,149,200,51,8,4,2025
São Luís,Porto Alegre,72,100,28,8,4,2025
São Luís,Cidade do México,56,100,44,8,4,2025
São Luís,Florianópolis,154,200,46,8,4,2025
Teresina,Londres,92,200,108,8,4,2025
Palmas,Madri,94,100,6,8,4,2025
Palmas,Lisboa,90,100,10,8,4,2025
Rio Branco,Natal,73,100,27,8,4,2025
Macapá,Bogotá,165,200,35,8,4,2025
Macapá,Cidade do México,117,200,83,8,4,2025
Macapá,São Paulo,151,200,49,8,4,2025
Boa Vista,Maceió,23,100,77,8,4,2025
Boa Vista,Vitória,38,100,62,8,4,2025
Boa Vista,São Luís,168,200,32,8,4,2025
Porto Velho,Lisboa,77,200,123,8,4,2025
Porto Velho,Recife,44,200,156,8,4,2025
Porto Velho,Manaus,72,200,128,8,4,2025
Nova York,Belém,56,200,144,8,4,2025
Nova York,Goiânia,69,200,131,8,4,2025
Miami,Lisboa,111,200,89,8,4,2025
Los Angeles,Natal,22,100,78,8,4,2025
Los Angeles,Belo Horizonte,58,100,42,8,4,2025
Los Angeles,Campo Grande,57,200,143,8,4,2025
Londres,Teresina,108,200,92,8,4,2025
Londres,Tóquio,124,200,76,8,4,2025
Paris,João Pessoa,143,200,57,8,4,2025
Paris,Dubai,91,200,109,8,4,2025
Paris,Londres,80,200,120,8,4,2025
Tóquio,Porto Alegre,110,200,90,8,4,2025
Tóquio,Aracaju,27,100,73,8,4,2025
Pequim,Madri,160,200,40,8,4,2025
Pequim,Cidade do México,94,200,106,8,4,2025
Pequim,Recife,89,100,11,8,4,2025
